actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-05-13T23:47:24.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-13T23:47:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-05-13T23:47:25.8Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2022-05-13T23:47:25Z,40000,,,0,,Jump Ball A. Horford vs. B. Lopez: Tip to G. Williams,"[1629684, 201143, 201572]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-05-13T23:47:41.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,33.98488830486202,62.5,1610612738,0,3,2022-05-13T23:47:46Z,70000,-62.0,267.0,1,left,J. Brown 27' 3PT  (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.42,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-05-13T23:47:59.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,68.67608409986859,26.225490196078432,1610612749,0,3,2022-05-13T23:48:18Z,80000,-119.0,242.0,1,right,MISS G. Allen 26' pullup 3PT,[1628960],1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-05-13T23:48:01.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,3,2022-05-13T23:48:01Z,90000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M11.00S,2022-05-13T23:48:10.8Z,1,REGULAR,3pt,Jump Shot,[],201143,34.11629434954008,55.14705882352941,1610612738,0,3,2022-05-13T23:48:15Z,100000,-26.0,268.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.94,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2022-05-13T23:48:13.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,3,2022-05-13T23:48:15Z,110000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M05.00S,2022-05-13T23:48:19.5Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612749,0,3,2022-05-13T23:48:31Z,120000,,,0,,A. Horford shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[201143, 203507]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,,2715.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
14,PT11M05.00S,2022-05-13T23:48:59.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,1,3,2022-05-13T23:48:59Z,140000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2022-05-13T23:49:24.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,2,3,2022-05-13T23:49:24Z,150000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
