actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-05-15T19:41:58.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-15T19:41:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-05-15T19:41:59.7Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-05-15T19:41:59Z,40000,,,0,,Jump Ball B. Lopez vs. A. Horford: Tip to G. Antetokounmpo,"[203507, 201572, 201143]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-05-15T19:42:08.8Z,1,REGULAR,2pt,Jump Shot,[],201950,80.76544021024968,68.87254901960785,1610612749,0,0,2022-05-15T19:42:15Z,70000,94.0,128.0,1,right,MISS J. Holiday 15' pullup Shot,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,15.93,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-05-15T19:42:10.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,0,0,2022-05-15T19:42:15Z,80000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2022-05-15T19:42:13.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2022-05-15T19:42:13Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2022-05-15T19:42:23.2Z,1,REGULAR,3pt,Jump Shot,[],1629684,25.57490144546649,82.1078431372549,1610612738,3,0,2022-05-15T19:42:27Z,100000,-161.0,188.0,1,left,G. Williams 24' 3PT  (3 PTS) (M. Smart 1 AST),"[1629684, 203935]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,24.71,Made,,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
12,PT11M24.00S,2022-05-15T19:42:41.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,3,0,2022-05-15T19:42:41Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2022-05-15T19:42:55.2Z,1,REGULAR,2pt,Jump Shot,[],203507,74.98357424441524,65.19607843137256,1610612749,3,0,2022-05-15T19:43:17Z,130000,76.0,183.0,1,right,MISS G. Antetokounmpo 19' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,19.79,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-05-15T19:42:58.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,3,0,2022-05-15T19:43:00Z,140000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
15,PT11M07.00S,2022-05-15T19:43:05.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,21.23850197109067,34.31372549019608,1610612738,3,0,2022-05-15T19:43:11Z,150000,78.0,147.0,1,left,MISS J. Tatum 16' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,16.67,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2022-05-15T19:43:08.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,0,2022-05-15T19:43:11Z,160000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,15.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M56.00S,2022-05-15T19:43:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202083,92.32917214191852,49.754901960784316,1610612749,3,2,2022-05-15T19:43:22Z,170000,-1.0,20.0,1,right,W. Matthews cutting Layup (2 PTS) (G. Antetokounmpo 1 AST),"[202083, 203507]",1610612749.0,MIL,cutting,,,Matthews,W. Matthews,,,,,1.96,Made,,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,
19,PT10M40.00S,2022-05-15T19:43:35.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,3,2,2022-05-15T19:43:35Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
