actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-05-20T00:46:09.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-20T00:46:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-05-20T00:46:11.8Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-05-20T00:46:11Z,40000,,,0,,Jump Ball B. Adebayo vs. R. Williams III: Tip to P. Tucker,"[200782, 1628389, 1629057]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-05-20T00:46:24.9Z,1,REGULAR,3pt,Jump Shot,[],200782,94.43166885676742,95.83333333333334,1610612748,3,0,2022-05-20T00:46:30Z,70000,229.0,0.0,1,right,P. Tucker 3PT  (3 PTS),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,22.92,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-05-20T00:46:41.2Z,1,REGULAR,3pt,Jump Shot,[],203935,31.61957950065703,25.0,1610612738,3,0,2022-05-20T00:46:46Z,90000,125.0,245.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-05-20T00:46:44.2Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,3,0,2022-05-20T00:46:46Z,100000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M09.00S,2022-05-20T00:46:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,87.59855453350855,63.48039215686274,1610612748,5,0,2022-05-20T00:47:23Z,110000,67.0,64.0,1,right,P. Tucker 9' driving floating Jump Shot (5 PTS) (J. Butler 1 AST),"[200782, 202710]",1610612748.0,MIA,driving floating,,,Tucker,P. Tucker,,,,,9.3,Made,5.0,,,,,J. Butler,202710.0,1.0,,,,,,,,,,
13,PT10M51.00S,2022-05-20T00:47:17.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,24.655059132720105,89.2156862745098,1610612738,5,3,2022-05-20T00:47:26Z,130000,-196.0,179.0,1,left,J. Brown 26' 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.57,Made,3.0,,,,,M. Smart,203935.0,1.0,,,,,,,,,,
15,PT10M34.00S,2022-05-20T00:47:35.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,83.919185282523,39.21568627450981,1610612748,5,3,2022-05-20T00:47:40Z,150000,-54.0,99.0,1,right,MISS B. Adebayo 11' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,11.25,Missed,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2022-05-20T00:47:39.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,5,3,2022-05-20T00:47:40Z,160000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M25.00S,2022-05-20T00:47:43.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629057,7.178055190538765,50.73529411764706,1610612738,5,5,2022-05-20T00:48:01Z,170000,-4.0,15.0,1,left,R. Williams III alley-oop DUNK (2 PTS) (M. Smart 2 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.54,Made,2.0,,,,,M. Smart,203935.0,2.0,,,,,,,,,,
19,PT10M12.00S,2022-05-20T00:48:03.9Z,1,REGULAR,foul,personal,[],1628369,,,1610612748,5,5,2022-05-20T00:48:16Z,190000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1629216]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1662.0,1.0,0.0,Vincent,1629216.0,,,,,
21,PT10M05.00S,2022-05-20T00:48:27.1Z,1,REGULAR,3pt,Jump Shot,[],1629622,66.5735873850197,41.66666666666667,1610612748,5,5,2022-05-20T00:48:30Z,210000,-42.0,262.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,26.5,Missed,,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2022-05-20T00:48:29.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,5,5,2022-05-20T00:48:30Z,220000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT09M58.00S,2022-05-20T00:48:34.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,6.915243101182654,46.81372549019608,1610612738,5,5,2022-05-20T00:50:42Z,230000,16.0,13.0,1,left,MISS J. Brown running Layup,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,2.02,Missed,,,,,,,,,,,,,,,,,,
24,PT09M58.00S,2022-05-20T00:48:34.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,5,5,2022-05-20T00:48:59Z,240000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,
25,PT09M58.00S,2022-05-20T00:48:39.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,5,5,2022-05-20T00:48:39Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M43.00S,2022-05-20T00:48:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,93.24901445466492,44.85294117647059,1610612748,5,5,2022-05-20T00:49:03Z,260000,-26.0,11.0,1,right,MISS P. Tucker driving Layup - blocked,"[200782, 1629057]",1610612748.0,MIA,driving,,,Tucker,P. Tucker,,,,,2.8,Missed,,,,,,,,,,,,,,Williams III,1629057.0,,,
27,PT09M43.00S,2022-05-20T00:48:56.6Z,1,REGULAR,block,,[],1629057,,,1610612748,5,5,2022-05-20T00:48:59Z,270000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M43.00S,2022-05-20T00:48:56.6Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,5,5,2022-05-20T00:49:03Z,280000,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,
29,PT09M36.00S,2022-05-20T00:49:02.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,93.51182654402102,48.28431372549019,1610612748,7,5,2022-05-20T00:49:06Z,290000,-9.0,8.0,1,right,J. Butler putback Layup (2 PTS),[202710],1610612748.0,MIA,putback,,,Butler,J. Butler,,,,,1.21,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M21.00S,2022-05-20T00:49:17.6Z,1,REGULAR,turnover,bad pass,[],201143,,,1610612738,7,5,2022-05-20T00:49:24Z,300000,,,0,,A. Horford bad pass TURNOVER (1 TO),"[201143, 202710]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,1.0,Butler,202710.0
31,PT09M21.00S,2022-05-20T00:49:17.6Z,1,REGULAR,steal,,[],202710,,,1610612748,7,5,2022-05-20T00:49:24Z,310000,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M17.00S,2022-05-20T00:49:27.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,7,5,2022-05-20T00:49:27Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M10.00S,2022-05-20T00:49:46.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629216,65.52233902759527,46.32352941176471,1610612748,10,5,2022-05-20T00:49:51Z,330000,-18.0,272.0,1,right,G. Vincent 27' 3PT  (3 PTS) (M. Strus 1 AST),"[1629216, 1629622]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,27.22,Made,3.0,,,,,M. Strus,1629622.0,1.0,,,,,,,,,,
35,PT08M50.00S,2022-05-20T00:50:06.7Z,1,REGULAR,3pt,Jump Shot,[],201143,4.681340341655716,1.715686274509804,1610612738,10,8,2022-05-20T00:50:10Z,350000,241.0,-8.0,1,left,A. Horford 24' 3PT  (3 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,24.15,Made,3.0,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,
37,PT08M34.00S,2022-05-20T00:50:23.6Z,1,REGULAR,2pt,Jump Shot,[],202710,86.28449408672799,74.26470588235294,1610612748,12,8,2022-05-20T00:50:28Z,370000,121.0,76.0,1,right,J. Butler 14' Jump Shot (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,14.34,Made,4.0,,,,,,,,,,,,,,,,,
