actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-05-26T00:47:42.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-26T00:47:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-05-26T00:47:45.3Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-05-26T00:47:45Z,40000,,,0,,Jump Ball B. Adebayo vs. R. Williams III: Tip to P. Tucker,"[200782, 1628389, 1629057]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-05-26T00:48:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,86.94152431011827,60.049019607843135,1610612748,0,0,2022-05-26T00:48:26Z,70000,50.0,70.0,1,right,MISS J. Butler 8' driving floating Shot,[202710],1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,8.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-05-26T00:48:08.6Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,0,0,2022-05-26T00:48:14Z,80000,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-05-26T00:48:11.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200768,67.36202365308804,50.73529411764706,1610612748,0,0,2022-05-26T00:48:18Z,90000,4.0,254.0,1,right,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2022-05-26T00:48:11.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2022-05-26T00:48:18Z,100000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2022-05-26T00:48:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,11.777266754270697,39.21568627450981,1610612738,0,0,2022-05-26T00:48:34Z,110000,54.0,58.0,1,left,MISS J. Brown 7' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,7.93,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-05-26T00:48:31.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,0,2022-05-26T00:48:34Z,120000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M55.00S,2022-05-26T00:48:47.1Z,1,REGULAR,3pt,Jump Shot,[],1629622,79.84559789750328,6.862745098039216,1610612748,0,0,2022-05-26T00:48:52Z,130000,-216.0,137.0,1,right,MISS M. Strus 25' pullup 3PT,[1629622],1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2022-05-26T00:48:49.2Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,0,0,2022-05-26T00:48:49Z,140000,,,0,,P. Tucker REBOUND (Off:2 Def:0),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,13.0,2.0,0.0,2.0,,,,,,,,,,,,,,
15,PT10M51.00S,2022-05-26T00:48:55.1Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,0,0,2022-05-26T00:49:13Z,150000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 200782]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1830.0,1.0,0.0,Tucker,200782.0,,,,,,,,,
17,PT10M39.00S,2022-05-26T00:49:21.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202710,93.38042049934296,85.5392156862745,1610612748,0,0,2022-05-26T00:49:26Z,170000,178.0,10.0,1,right,MISS J. Butler 17' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,17.8,Missed,,,,,,,,,,,,,,,,,,
18,PT10M37.00S,2022-05-26T00:49:23.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2022-05-26T00:49:26Z,180000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M11.00S,2022-05-26T00:49:48.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,22.815374507227332,92.8921568627451,1610612738,0,0,2022-05-26T00:49:54Z,190000,-214.0,162.0,1,left,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,
20,PT10M09.00S,2022-05-26T00:49:50.6Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,0,0,2022-05-26T00:49:50Z,200000,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M04.00S,2022-05-26T00:49:55.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202710,92.9862023653088,53.431372549019606,1610612748,0,0,2022-05-26T00:50:40Z,210000,17.0,13.0,1,right,MISS J. Butler cutting Layup,[202710],1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,2.18,Missed,,,,,,,,,,,,,,,,,,
22,PT10M02.00S,2022-05-26T00:49:57.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2022-05-26T00:49:57Z,220000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M40.00S,2022-05-26T00:50:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,9.937582128777924,37.99019607843137,1610612738,0,0,2022-05-26T00:51:57Z,230000,60.0,41.0,1,left,MISS A. Horford 7' bank Shot,[201143],1610612738.0,BOS,bank,,,Horford,A. Horford,,,,,7.26,Missed,,,,,,,,,,,,,,,,,,
24,PT09M38.00S,2022-05-26T00:50:21.1Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,0,0,2022-05-26T00:51:57Z,240000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT09M37.00S,2022-05-26T00:50:22.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,7.30946123521682,48.28431372549019,1610612738,0,2,2022-05-26T00:50:28Z,250000,9.0,16.0,1,left,R. Williams III putback Layup (2 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,1.83,Made,,,,,,,,,,2.0,,,,,,,,
26,PT09M13.00S,2022-05-26T00:50:46.3Z,1,REGULAR,2pt,Jump Shot,[],202710,89.04402102496715,81.61764705882352,1610612748,0,2,2022-05-26T00:53:19Z,260000,158.0,50.0,1,right,MISS J. Butler 16' step back Shot,[202710],1610612748.0,MIA,step back,,,Butler,J. Butler,,,,,16.6,Missed,,,,,,,,,,,,,,,,,,
27,PT09M10.00S,2022-05-26T00:50:49.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,2,2022-05-26T00:50:52Z,270000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT09M04.00S,2022-05-26T00:50:55.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,6.652431011826544,52.94117647058824,1610612738,0,4,2022-05-26T00:51:01Z,280000,-15.0,10.0,1,left,R. Williams III Layup (4 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1.78,Made,,,,,,,,,,4.0,M. Smart,203935.0,1.0,,,,,
30,PT08M49.00S,2022-05-26T00:51:15.6Z,1,REGULAR,foul,personal,[],203935,,,1610612748,0,4,2022-05-26T00:51:34Z,300000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 200768]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,1830.0,1.0,0.0,Lowry,200768.0,,,,,,,,,
32,PT08M36.00S,2022-05-26T00:51:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,92.9862023653088,48.28431372549019,1610612748,2,4,2022-05-26T00:51:53Z,320000,-9.0,13.0,1,right,J. Butler driving Layup (2 PTS) (M. Strus 1 AST),"[202710, 1629622]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,1.59,Made,,,,,,,,,,2.0,M. Strus,1629622.0,1.0,,,,,
34,PT08M18.00S,2022-05-26T00:52:07.3Z,1,REGULAR,foul,personal,['2freethrow'],202710,,,1610612738,2,4,2022-05-26T00:52:16Z,340000,,,0,,J. Butler shooting personal FOUL (1 PF) (Tatum 2 FT),"[202710, 1628369]",1610612748.0,MIA,shooting,,,Butler,J. Butler,,,,,,,,,,,1830.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
36,PT08M18.00S,2022-05-26T00:52:35.3Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,2,4,2022-05-26T00:52:35Z,360000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT08M18.00S,2022-05-26T00:52:35.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,2,4,2022-05-26T00:52:35Z,370000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,
38,PT08M18.00S,2022-05-26T00:52:48.4Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,2,5,2022-05-26T00:52:48Z,380000,,,0,,J. Tatum Free Throw 2 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
39,PT08M09.00S,2022-05-26T00:53:06.3Z,1,REGULAR,foul,personal,[],203935,,,1610612748,2,5,2022-05-26T00:53:20Z,390000,,,0,,M. Smart personal FOUL (2 PF),"[203935, 1628389]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,201639.0,2.0,0.0,Adebayo,1628389.0,,,,,,,,,
41,PT08M09.00S,2022-05-26T00:53:15.7Z,1,REGULAR,substitution,out,[],203935,,,1610612748,2,5,2022-05-26T00:53:22Z,410000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M09.00S,2022-05-26T00:53:15.7Z,1,REGULAR,substitution,in,[],1628401,,,1610612748,2,5,2022-05-26T00:53:22Z,420000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M55.00S,2022-05-26T00:53:44.7Z,1,REGULAR,3pt,Jump Shot,[],200782,92.85479632063075,3.1862745098039214,1610612748,2,5,2022-05-26T00:54:36Z,430000,-234.0,15.0,1,right,MISS P. Tucker step back 3PT,[200782],1610612748.0,MIA,step back,,,Tucker,P. Tucker,,,,,23.46,Missed,,,,,,,,,,,,,,,,,,
44,PT07M51.00S,2022-05-26T00:53:48.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,5,2022-05-26T00:53:50Z,440000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,43.0,3.0,2.0,1.0,,,,,,,,,,,,,,
45,PT07M42.00S,2022-05-26T00:53:57.8Z,1,REGULAR,2pt,Jump Shot,[],1627759,24.655059132720105,64.95098039215686,1610612738,2,5,2022-05-26T00:55:38Z,450000,-75.0,179.0,1,left,MISS J. Brown 19' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,19.43,Missed,,,,,,,,,,,,,,,,,,
46,PT07M39.00S,2022-05-26T00:54:00.8Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,2,5,2022-05-26T00:54:04Z,460000,,,0,,P. Tucker REBOUND (Off:2 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,45.0,3.0,1.0,2.0,,,,,,,,,,,,,,
47,PT07M23.00S,2022-05-26T00:54:17.9Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,2,5,2022-05-26T00:54:26Z,470000,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (1 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,,,,,,,200834.0,,,,,,,,,1.0,,,,
48,PT07M09.00S,2022-05-26T00:54:36.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628401,11.908672798948752,53.18627450980392,1610612738,2,7,2022-05-26T00:54:42Z,480000,-16.0,59.0,1,left,D. White 6' floating Jump Shot (2 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,floating,,,White,D. White,,,,,6.15,Made,,,,,,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,
50,PT06M47.00S,2022-05-26T00:54:58.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,92.59198423127464,47.05882352941176,1610612748,4,7,2022-05-26T00:55:05Z,500000,-15.0,17.0,1,right,B. Adebayo driving reverse Layup (2 PTS),[1628389],1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,2.25,Made,,,,,,,,,,2.0,,,,,,,,
51,PT06M36.00S,2022-05-26T00:55:09.6Z,1,REGULAR,3pt,Jump Shot,[],201143,10.726018396846255,94.85294117647058,1610612738,4,7,2022-05-26T00:55:13Z,510000,-224.0,48.0,1,left,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,22.94,Missed,,,,,,,,,,,,,,,,,,
52,PT06M33.00S,2022-05-26T00:55:12.6Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,4,7,2022-05-26T00:55:13Z,520000,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT06M23.00S,2022-05-26T00:55:22.6Z,1,REGULAR,3pt,Jump Shot,[],202710,93.64323258869908,95.83333333333334,1610612748,4,7,2022-05-26T00:55:27Z,530000,229.0,7.0,1,right,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,
54,PT06M22.00S,2022-05-26T00:55:23.6Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,4,7,2022-05-26T00:55:27Z,540000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,,,,
55,PT06M13.00S,2022-05-26T00:55:31.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,91.01511169513797,55.63725490196079,1610612748,4,7,2022-05-26T00:58:17Z,550000,28.0,32.0,1,right,MISS J. Butler finger roll Layup,[202710],1610612748.0,MIA,finger roll,,,Butler,J. Butler,,,,,4.27,Missed,,,,,,,,,,,,,,,,,,
56,PT06M07.00S,2022-05-26T00:55:38.3Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,4,7,2022-05-26T00:55:38Z,560000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,55.0,1.0,0.0,1.0,,,,,,,,,,,,,,
