actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-05-28T00:46:10.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-28T00:46:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-05-28T00:46:12.4Z,1,REGULAR,jumpball,recovered,[],1629057,,,1610612738,0,0,2022-05-28T00:46:12Z,40000,,,0,,Jump Ball A. Horford vs. B. Adebayo: Tip to R. Williams III,"[1629057, 201143, 1628389]",1610612738.0,BOS,startperiod,R. Williams III,1629057.0,Williams III,R. Williams III,Horford,201143.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-05-28T00:46:34.0Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,0,0,2022-05-28T00:46:38Z,70000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 200782]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1.0,Tucker,200782.0,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-05-28T00:46:34.0Z,1,REGULAR,steal,,[],200782,,,1610612748,0,0,2022-05-28T00:46:36Z,80000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-05-28T00:46:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",200768,7.703679369250986,47.549019607843135,1610612748,0,0,2022-05-28T00:46:55Z,90000,12.0,20.0,1,left,MISS K. Lowry driving Layup,[200768],1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,,,,2.34,Missed,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-05-28T00:46:47.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2022-05-28T00:46:55Z,100000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M19.00S,2022-05-28T00:46:56.5Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,0,0,2022-05-28T00:47:02Z,120000,,,0,,R. Williams III step out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,step,,,Williams III,R. Williams III,,,,,1.0,,,,,,,,,2534.0,,,,,,,,,,,
13,PT11M15.00S,2022-05-28T00:47:16.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200782,9.674770039421814,3.1862745098039214,1610612748,0,3,2022-05-28T00:47:20Z,130000,234.0,38.0,1,left,P. Tucker 3PT  (3 PTS) (J. Butler 1 AST),"[200782, 202710]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,23.72,Made,,,,,,3.0,J. Butler,202710.0,1.0,,,,,,,
15,PT11M00.00S,2022-05-28T00:47:30.9Z,1,REGULAR,3pt,Jump Shot,[],201143,75.50919842312747,87.74509803921569,1610612738,0,3,2022-05-28T00:47:36Z,150000,189.0,178.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,25.92,Missed,,,,,,,,,,,,,,,,
16,PT10M58.00S,2022-05-28T00:47:32.9Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,3,2022-05-28T00:47:36Z,160000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M49.00S,2022-05-28T00:47:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,10.463206307490145,43.872549019607845,1610612748,0,5,2022-05-28T00:47:48Z,170000,31.0,46.0,1,left,J. Butler Layup (2 PTS) (K. Lowry 1 AST),"[202710, 200768]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,5.52,Made,,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,
19,PT10M37.00S,2022-05-28T00:47:53.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.30420499342969,80.14705882352942,1610612738,3,5,2022-05-28T00:47:58Z,190000,151.0,217.0,1,right,J. Tatum 26' 3PT  (3 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,26.44,Made,,,,,,3.0,A. Horford,201143.0,1.0,,,,,,,
21,PT10M25.00S,2022-05-28T00:48:05.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.040078843626807,50.0,1610612748,3,5,2022-05-28T00:48:20Z,210000,0.0,61.0,1,left,MISS B. Adebayo 6' driving floating Shot,[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,,,,6.07,Missed,,,,,,,,,,,,,,,,
22,PT10M23.00S,2022-05-28T00:48:07.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,5,2022-05-28T00:52:37Z,220000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M11.00S,2022-05-28T00:48:20.7Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612738,3,5,2022-05-28T00:48:34Z,230000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Tatum 2 FT),"[200782, 1628369]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,,,,,,,,,,2004.0,,,,,1.0,0.0,Tatum,1628369.0,,,
25,PT10M11.00S,2022-05-28T00:48:54.6Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,4,5,2022-05-28T00:48:54Z,250000,,,0,,J. Tatum Free Throw 1 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,,,,,,4.0,,,,,,,,,,
26,PT10M11.00S,2022-05-28T00:49:09.8Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,5,5,2022-05-28T00:49:09Z,260000,,,0,,J. Tatum Free Throw 2 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,,,,,,5.0,,,,,,,,,,
27,PT10M02.00S,2022-05-28T00:49:24.0Z,1,REGULAR,turnover,out-of-bounds,[],1629622,,,1610612748,5,5,2022-05-28T00:49:29Z,270000,,,0,,M. Strus lost ball out-of-bounds TURNOVER (1 TO),[1629622],1610612748.0,MIA,lost ball,,,Strus,M. Strus,,,,,1.0,,,,,,,,,2534.0,,,,,,,,,,,
28,PT09M43.00S,2022-05-28T00:49:46.6Z,1,REGULAR,turnover,bad pass,[],201143,,,1610612738,5,5,2022-05-28T00:49:52Z,280000,,,0,,A. Horford bad pass TURNOVER (1 TO),"[201143, 202710]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,1.0,Butler,202710.0,,,,,,,,,,,,,,,,,,
29,PT09M43.00S,2022-05-28T00:49:46.6Z,1,REGULAR,steal,,[],202710,,,1610612748,5,5,2022-05-28T00:49:48Z,290000,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M38.00S,2022-05-28T00:49:50.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629622,5.732588699080158,47.05882352941176,1610612748,5,7,2022-05-28T00:52:01Z,300000,15.0,1.0,1,left,M. Strus running DUNK (2 PTS) (J. Butler 2 AST),"[1629622, 202710]",1610612748.0,MIA,running,,,Strus,M. Strus,,,,,,,,1.48,Made,,,,,,2.0,J. Butler,202710.0,2.0,,,,,,,
32,PT09M16.00S,2022-05-28T00:50:13.2Z,1,REGULAR,3pt,Jump Shot,[],203935,70.51576872536137,20.098039215686274,1610612738,5,7,2022-05-28T00:50:20Z,320000,-150.0,225.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,26.99,Missed,,,,,,,,,,,,,,,,
33,PT09M13.00S,2022-05-28T00:50:16.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,7,2022-05-28T00:50:20Z,330000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,
34,PT09M02.00S,2022-05-28T00:50:26.7Z,1,REGULAR,3pt,Jump Shot,[],200768,25.18068331143233,86.51960784313727,1610612748,5,10,2022-05-28T00:50:31Z,340000,-183.0,184.0,1,left,K. Lowry 25' 3PT pullup (3 PTS) (B. Adebayo 1 AST),"[200768, 1628389]",1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,,,,25.94,Made,,,,,,3.0,B. Adebayo,1628389.0,1.0,,,,,,,
36,PT08M42.00S,2022-05-28T00:50:46.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.90998685939553,76.9607843137255,1610612738,5,10,2022-05-28T00:53:36Z,360000,135.0,221.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,25.88,Missed,,,,,,,,,,,,,,,,
37,PT08M40.00S,2022-05-28T00:50:48.7Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,5,10,2022-05-28T00:50:51Z,370000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,
38,PT08M37.00S,2022-05-28T00:50:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629622,7.966491458607096,43.627450980392155,1610612748,5,10,2022-05-28T00:51:09Z,380000,32.0,22.0,1,left,MISS M. Strus running Layup - blocked,"[1629622, 1628369]",1610612748.0,MIA,running,,,Strus,M. Strus,,,,,,,,3.9,Missed,,,,,,,,,,,,,,Tatum,1628369.0,
39,PT08M37.00S,2022-05-28T00:50:52.0Z,1,REGULAR,block,,[],1628369,,,1610612748,5,10,2022-05-28T00:50:54Z,390000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M35.00S,2022-05-28T00:50:54.0Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,5,10,2022-05-28T00:51:09Z,400000,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,38.0,1.0,0.0,1.0,,,,,,,,,,,,
41,PT08M26.00S,2022-05-28T00:51:04.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",200768,7.440867279894875,47.30392156862745,1610612748,5,12,2022-05-28T00:51:19Z,410000,13.0,17.0,1,left,K. Lowry driving Layup (5 PTS),[200768],1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,,,,2.2,Made,,,,,,5.0,,,,,,,,,,
42,PT08M26.00S,2022-05-28T00:51:07.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,5,12,2022-05-28T00:51:07Z,420000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M07.00S,2022-05-28T00:55:13.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629057,91.01511169513797,39.46078431372549,1610612738,5,12,2022-05-28T00:56:02Z,430000,-53.0,32.0,1,right,MISS R. Williams III 6' fadeaway Shot,[1629057],1610612738.0,BOS,fadeaway,,,Williams III,R. Williams III,,,,,,,,6.17,Missed,,,,,,,,,,,,,,,,
44,PT08M04.00S,2022-05-28T00:55:16.2Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,5,12,2022-05-28T00:55:35Z,440000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,
46,PT08M02.00S,2022-05-28T00:55:30.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201143,90.22667542706965,48.77450980392157,1610612738,5,12,2022-05-28T00:55:54Z,460000,-6.0,39.0,1,right,MISS A. Horford Layup - blocked,"[201143, 200768]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,3.99,Missed,,,,,,,,,,,,,,Lowry,200768.0,
47,PT08M02.00S,2022-05-28T00:55:30.3Z,1,REGULAR,block,,[],200768,,,1610612738,5,12,2022-05-28T00:55:33Z,470000,,,0,,K. Lowry BLOCK (1 BLK),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M00.00S,2022-05-28T00:55:32.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,5,12,2022-05-28T00:55:54Z,480000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,
49,PT08M00.00S,2022-05-28T00:55:35.0Z,1,REGULAR,foul,personal,[],201143,,,1610612748,5,12,2022-05-28T00:55:40Z,490000,,,0,,A. Horford loose ball personal FOUL (1 PF),"[201143, 200768]",1610612738.0,BOS,loose ball,,,Horford,A. Horford,,,,,,,,,,,,,,2715.0,,,,,1.0,0.0,Lowry,200768.0,,,
51,PT07M43.00S,2022-05-28T00:55:53.4Z,1,REGULAR,3pt,Jump Shot,[],1629622,30.042706964520367,71.32352941176471,1610612748,5,12,2022-05-28T00:57:13Z,510000,-107.0,230.0,1,left,MISS M. Strus 25' pullup 3PT,[1629622],1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,,,,25.34,Missed,,,,,,,,,,,,,,,,
52,PT07M42.00S,2022-05-28T00:55:54.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,5,12,2022-05-28T00:56:02Z,520000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,
53,PT07M34.00S,2022-05-28T00:56:03.9Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,5,12,2022-05-28T00:56:10Z,530000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,1.0,,,,,,,,,2715.0,,,,,,,,,,,
54,PT07M20.00S,2022-05-28T00:56:25.1Z,1,REGULAR,foul,personal,[],201143,,,1610612748,5,12,2022-05-28T00:56:32Z,540000,,,0,,A. Horford personal FOUL (2 PF),"[201143, 1628389]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,2004.0,,,,,2.0,0.0,Adebayo,1628389.0,,,
56,PT07M20.00S,2022-05-28T00:56:33.2Z,1,REGULAR,substitution,out,[],201143,,,1610612748,5,12,2022-05-28T00:56:36Z,560000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M20.00S,2022-05-28T00:56:33.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612748,5,12,2022-05-28T00:56:36Z,570000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
