actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-05-30T00:46:43.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-30T00:46:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-05-30T00:46:46.4Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,0,0,2022-05-30T00:46:46Z,40000,,,0,,Jump Ball A. Horford vs. B. Adebayo: Tip to J. Tatum,"[1628369, 201143, 1628389]",1610612738.0,BOS,startperiod,J. Tatum,1628369.0,Tatum,J. Tatum,Horford,201143.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-05-30T00:47:01.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,9.543363994743759,41.17647058823529,1610612738,0,0,2022-05-30T00:47:07Z,70000,44.0,37.0,1,left,MISS A. Horford bank Shot,[201143],1610612738.0,BOS,bank,,,Horford,A. Horford,,,,,5.77,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-05-30T00:47:05.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2022-05-30T00:47:07Z,80000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-05-30T00:47:16.2Z,1,REGULAR,3pt,Jump Shot,[],202710,96.92838370565046,3.1862745098039214,1610612748,0,0,2022-05-30T00:47:19Z,90000,-234.0,-24.0,1,right,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,23.53,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-05-30T00:47:19.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2022-05-30T00:47:19Z,100000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-05-30T00:47:27.6Z,1,REGULAR,3pt,Jump Shot,[],203935,31.488173455978973,32.59803921568628,1610612738,0,0,2022-05-30T00:47:33Z,110000,87.0,243.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-05-30T00:47:32.6Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,0,0,2022-05-30T00:47:33Z,120000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-05-30T00:47:33.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,8.09789750328515,55.14705882352941,1610612738,0,2,2022-05-30T00:48:16Z,130000,-26.0,24.0,1,left,J. Tatum putback Layup (2 PTS),[1628369],1610612738.0,BOS,putback,,,Tatum,J. Tatum,,,,,3.49,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M49.00S,2022-05-30T00:47:53.4Z,1,REGULAR,turnover,bad pass,[],200782,,,1610612748,0,2,2022-05-30T00:48:00Z,140000,,,0,,P. Tucker bad pass TURNOVER (1 TO),"[200782, 201143]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,1.0,Horford,201143.0,,,,,,,,,,,
