actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-06-11T01:07:47.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-06-11T01:07:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-06-11T01:07:48.8Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-06-11T01:07:48Z,40000,,,0,,Jump Ball R. Williams III vs. D. Green: Tip to M. Smart,"[203935, 1629057, 203110]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-06-11T01:07:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,88.64980289093299,46.568627450980394,1610612738,2,0,2022-06-11T01:08:01Z,70000,-17.0,54.0,1,right,M. Smart driving finger roll Layup (2 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,driving finger roll,,,Smart,M. Smart,,,,,5.69,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-06-11T01:08:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,6.83311432325887,43.271292892156865,1610612744,2,2,2022-06-11T01:09:04Z,90000,34.0,12.0,1,left,K. Thompson driving finger roll Layup (2 PTS),[202691],1610612744.0,GSW,driving finger roll,,,Thompson,K. Thompson,,,,,3.56,Made,2.0,,,,,,,,,,,,,,,,,
10,PT10M56.00S,2022-06-11T01:08:51.2Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612738,2,2,2022-06-11T01:09:02Z,100000,,,0,,S. Curry shooting personal FOUL (1 PF) (Tatum 2 FT),"[201939, 1628369]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,,,,,,,201640.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
12,PT10M56.00S,2022-06-11T01:09:16.6Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,2,2,2022-06-11T01:09:16Z,120000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2022-06-11T01:09:16.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,2,2,2022-06-11T01:09:16Z,130000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,
14,PT10M56.00S,2022-06-11T01:09:29.8Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,3,2,2022-06-11T01:09:29Z,140000,,,0,,J. Tatum Free Throw 2 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-06-11T01:09:44.8Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612744,3,2,2022-06-11T01:09:53Z,150000,,,0,,M. Smart shooting personal FOUL (1 PF) (Curry 2 FT),"[203935, 201939]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,201640.0,1.0,0.0,Curry,201939.0,,,,,,,,,
17,PT10M44.00S,2022-06-11T01:10:12.6Z,1,REGULAR,freethrow,1 of 2,[],201939,,,1610612744,3,3,2022-06-11T01:10:12Z,170000,,,0,,S. Curry Free Throw 1 of 2 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2022-06-11T01:10:29.4Z,1,REGULAR,freethrow,2 of 2,[],201939,,,1610612744,3,4,2022-06-11T01:10:29Z,180000,,,0,,S. Curry Free Throw 2 of 2 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M35.00S,2022-06-11T01:10:42.7Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,3,4,2022-06-11T01:10:48Z,190000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,,,,,,,201640.0,,,,,,1.0,,,,,,,
