actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-04-15T19:44:03.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-15T19:44:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-15T19:44:05.4Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2023-04-15T19:44:05Z,40000,False,,,0,,Jump Ball C. Capela vs. A. Horford: Tip to J. Collins,"[1628381, 203991, 201143]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2023-04-15T19:44:14.1Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,0,2023-04-15T19:44:18Z,70000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1627759]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,1.0,Brown,1627759.0,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2023-04-15T19:44:14.1Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2023-04-15T19:44:16Z,80000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-04-15T19:44:21.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,90.3580814717477,51.9607843137255,1610612738,2,0,2023-04-15T19:44:25Z,90000,False,10.0,38.0,1,right,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,3.93,Made,2.0,,,,,,,,,,,,,,
10,PT11M31.00S,2023-04-15T19:44:30.9Z,1,REGULAR,2pt,Jump Shot,[],1627749,27.283180026281208,55.88235294117647,1610612737,2,2,2023-04-15T19:44:35Z,100000,False,-29.0,204.0,1,left,D. Murray 20' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,,20.61,Made,2.0,,,,,,,,,,,,,,
11,PT11M15.00S,2023-04-15T19:44:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,91.14651773981603,57.59803921568627,1610612738,2,2,2023-04-15T19:45:05Z,110000,False,38.0,31.0,1,right,MISS M. Smart driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,4.89,Missed,,,,,,,,,,,,,,,
12,PT11M14.00S,2023-04-15T19:44:50.1Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,2,2,2023-04-15T19:45:05Z,120000,False,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M14.00S,2023-04-15T19:44:54.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203935,94.40999984741211,50.0,1610612738,2,2,2023-04-15T19:45:23Z,130000,False,0.0,0.0,1,right,MISS M. Smart tip Layup,[203935],1610612738.0,BOS,tip,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
14,PT11M13.00S,2023-04-15T19:44:55.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,2,2023-04-15T19:45:23Z,140000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT11M00.00S,2023-04-15T19:45:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,9.674770039421814,58.57843137254902,1610612737,2,2,2023-04-15T19:45:10Z,150000,False,-43.0,38.0,1,left,MISS T. Young driving Layup - blocked,"[1629027, 1628401]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,5.76,Missed,,,,,,White,1628401.0,,,,,,,,
