actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-18T23:06:00.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-18T23:06:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-18T23:06:03.4Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2023-04-18T23:06:03Z,40000,False,,,0,,Jump Ball C. Capela vs. A. Horford: Tip to T. Young,"[1629027, 203991, 201143]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-04-18T23:06:17.2Z,1,REGULAR,2pt,Jump Shot,[],1629631,16.507884362680684,82.1078431372549,1610612737,0,2,2023-04-18T23:06:23Z,70000,False,-161.0,103.0,1,left,D. Hunter 19' pullup Jump Shot (2 PTS) (J. Collins 1 AST),"[1629631, 1628381]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left,19.05,Made,2.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-04-18T23:06:38.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,87.20433639947439,3.9215686274509802,1610612738,3,2,2023-04-18T23:06:43Z,90000,False,-230.0,68.0,1,right,J. Brown 24' 3PT  (3 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,24.02,Made,3.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
11,PT11M02.00S,2023-04-18T23:06:58.0Z,1,REGULAR,3pt,Jump Shot,[],1629631,21.28777923784494,92.1798406862745,1610612737,3,5,2023-04-18T23:07:02Z,110000,False,-211.0,148.0,1,left,D. Hunter 25' 3PT  (5 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,25.74,Made,5.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
13,PT10M46.00S,2023-04-18T23:07:13.1Z,1,REGULAR,3pt,Jump Shot,[],203935,65.78515111695138,57.84313725490197,1610612738,3,5,2023-04-18T23:07:28Z,130000,False,39.0,269.0,1,right,MISS M. Smart 27' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,27.19,Missed,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2023-04-18T23:07:14.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,3,5,2023-04-18T23:07:18Z,140000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M31.00S,2023-04-18T23:07:28.3Z,1,REGULAR,3pt,Jump Shot,[],1628381,9.411957950065702,96.56862745098039,1610612737,3,8,2023-04-18T23:07:34Z,150000,False,-233.0,36.0,1,left,J. Collins 3PT  (3 PTS) (D. Murray 1 AST),"[1628381, 1627749]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Left Corner 3,24+ Left,23.56,Made,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
17,PT10M11.00S,2023-04-18T23:07:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.32917214191852,56.61764705882353,1610612738,5,8,2023-04-18T23:07:53Z,170000,False,33.0,20.0,1,right,J. Tatum driving finger roll Layup (2 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.85,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M00.00S,2023-04-18T23:07:59.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,7.440867279894875,96.56862745098039,1610612737,5,8,2023-04-18T23:08:09Z,180000,False,-233.0,17.0,1,left,MISS D. Murray 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,23.34,Missed,,,,,,,,,,,,,,,,,,
19,PT09M55.00S,2023-04-18T23:08:04.8Z,1,REGULAR,rebound,offensive,[],1629631,,,1610612737,5,8,2023-04-18T23:08:09Z,190000,False,,,0,,D. Hunter REBOUND (Off:1 Def:0),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,
20,PT09M51.00S,2023-04-18T23:08:09.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628381,9.198423127463863,37.27022058823529,1610612737,5,8,2023-04-18T23:08:48Z,200000,False,64.0,34.0,1,left,MISS J. Collins 7' driving Hook - blocked,"[1628381, 201143]",1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,7.21,Missed,,,,,,,,,Horford,201143.0,,,,,,,,
21,PT09M51.00S,2023-04-18T23:08:09.4Z,1,REGULAR,block,,[],201143,,,1610612737,5,8,2023-04-18T23:08:11Z,210000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M50.00S,2023-04-18T23:08:10.4Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,5,8,2023-04-18T23:08:25Z,220000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,
23,PT09M48.00S,2023-04-18T23:08:26.0Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612737,5,8,2023-04-18T23:08:36Z,230000,False,,,0,,J. Tatum shooting personal FOUL (1 PF) (Capela 2 FT),"[1628369, 203991]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,202058.0,1.0,0.0,Capela,203991.0,,,
25,PT09M48.00S,2023-04-18T23:08:38.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203991,,,1610612737,5,8,2023-04-18T23:08:38Z,250000,False,,,0,,MISS C. Capela Free Throw 1 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
26,PT09M48.00S,2023-04-18T23:08:38.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,5,8,2023-04-18T23:08:38Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
