actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-04-28T00:32:32.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-28T00:32:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-28T00:32:36.3Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2023-04-28T00:32:36Z,40000,False,,,0,,Jump Ball A. Horford vs. C. Capela: Tip to D. White,"[1628401, 201143, 203991]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Horford,201143.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-04-28T00:32:45.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,10.726018396846255,5.147058823529411,1610612738,0,3,2023-04-28T00:32:50Z,70000,False,224.0,48.0,1,left,J. Brown 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,22.94,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-04-28T00:33:09.9Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,3,2023-04-28T00:33:14Z,90000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 203935]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Smart,203935.0,,,,,,,,,,,
10,PT11M21.00S,2023-04-28T00:33:09.9Z,1,REGULAR,steal,,[],203935,,,1610612738,0,3,2023-04-28T00:33:12Z,100000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2023-04-28T00:33:14.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627759,28.86005256241787,76.7156862745098,1610612738,0,3,2023-04-28T00:33:21Z,110000,False,-134.0,219.0,1,left,MISS J. Brown 25' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.64,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2023-04-28T00:33:15.9Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,0,3,2023-04-28T01:02:04Z,120000,False,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
14,PT11M09.00S,2023-04-28T00:33:39.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628401,12.828515111695138,43.872549019607845,1610612738,0,3,2023-04-28T00:33:45Z,140000,False,31.0,68.0,1,left,MISS D. White 7' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,7.47,Missed,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2023-04-28T00:33:44.8Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,0,3,2023-04-28T00:33:45Z,150000,False,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,
16,PT11M04.00S,2023-04-28T00:33:43.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203935,5.590000152587891,50.0,1610612738,0,5,2023-04-28T00:33:43Z,160000,False,0.0,0.0,1,left,M. Smart tip Layup (2 PTS),[203935],1610612738.0,BOS,tip,,,Smart,M. Smart,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
