actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-05-09T23:32:56.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-09T23:32:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-05-09T23:32:58.3Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2023-05-09T23:32:58Z,40000,False,,,0,,Jump Ball A. Horford vs. J. Embiid: Tip to M. Smart,"[203935, 201143, 203954]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-05-09T23:33:11.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,88.78120893561103,95.34313725490196,1610612738,0,0,2023-05-09T23:33:17Z,70000,False,227.0,53.0,1,right,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,23.28,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-05-09T23:33:15.6Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,0,0,2023-05-09T23:33:17Z,80000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2023-05-09T23:33:36.3Z,1,REGULAR,3pt,Jump Shot,[],203954,25.18068331143233,80.14705882352942,1610612755,0,3,2023-05-09T23:33:45Z,90000,False,-151.0,184.0,1,left,J. Embiid 3PT step back (3 PTS),[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,23.8,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M08.00S,2023-05-09T23:33:49.5Z,1,REGULAR,foul,personal,[],201935,,,1610612738,0,3,2023-05-09T23:34:02Z,100000,False,,,0,,J. Harden personal FOUL (1 PF),"[201935, 1627759]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right Center,,,,,,,,1830.0,1.0,0.0,Brown,1627759.0,,,,,,,,
12,PT10M56.00S,2023-05-09T23:34:19.4Z,1,REGULAR,3pt,Jump Shot,[],203935,90.22667542706965,94.85294117647058,1610612738,3,3,2023-05-09T23:34:24Z,120000,False,224.0,39.0,1,right,M. Smart 3PT  (3 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,22.77,Made,,,,,3.0,,,,,,J. Brown,1627759.0,1.0,,,,,
14,PT10M40.00S,2023-05-09T23:34:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.964520367936925,62.032781862745104,1610612755,3,3,2023-05-09T23:34:43Z,140000,False,-60.0,13.0,1,left,MISS T. Harris 6' driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,6.16,Missed,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2023-05-09T23:34:37.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,3,2023-05-09T23:34:43Z,150000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M27.00S,2023-05-09T23:34:48.9Z,1,REGULAR,3pt,Jump Shot,[],203935,87.59855453350855,3.431372549019608,1610612738,6,3,2023-05-09T23:34:53Z,160000,False,-233.0,64.0,1,right,M. Smart 24' 3PT  (6 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,24.15,Made,,,,,6.0,,,,,,J. Tatum,1628369.0,1.0,,,,,
18,PT10M15.00S,2023-05-09T23:35:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.915243101182654,46.81372549019608,1610612755,6,3,2023-05-09T23:36:07Z,180000,False,16.0,13.0,1,left,MISS J. Embiid driving Layup - blocked,"[203954, 201143]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,Horford,201143.0,,,
19,PT10M15.00S,2023-05-09T23:35:01.9Z,1,REGULAR,block,,[],201143,,,1610612755,6,3,2023-05-09T23:35:05Z,190000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2023-05-09T23:35:03.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,6,3,2023-05-09T23:37:02Z,200000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,18.0,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2023-05-09T23:35:25.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,6,3,2023-05-09T23:35:25Z,210000,False,,,0,,Jump Ball A. Horford vs. J. Embiid: Tip to M. Smart,"[203935, 201143, 203954]",1610612738.0,BOS,heldball,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2023-05-09T23:35:32.5Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,6,3,2023-05-09T23:35:38Z,240000,False,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 201935]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,Harden,201935.0
25,PT10M06.00S,2023-05-09T23:35:32.5Z,1,REGULAR,steal,,[],201935,,,1610612755,6,3,2023-05-09T23:35:34Z,250000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
26,PT10M02.00S,2023-05-09T23:35:36.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,5.206964520367937,50.0,1610612755,6,5,2023-05-09T23:35:44Z,260000,False,0.0,-4.0,1,left,T. Harris running DUNK (2 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,0.36,Made,,,,,2.0,,,,,,J. Harden,201935.0,1.0,,,,,
28,PT09M50.00S,2023-05-09T23:35:47.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,65.65374507227332,45.09803921568628,1610612738,6,5,2023-05-09T23:37:29Z,280000,False,-25.0,270.0,1,right,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,27.15,Missed,,,,,,,,,,,,,,,,,,
29,PT09M48.00S,2023-05-09T23:35:49.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,6,5,2023-05-09T23:35:52Z,290000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M31.00S,2023-05-09T23:36:07.0Z,1,REGULAR,3pt,Jump Shot,[],202699,9.543363994743759,4.166666666666666,1610612755,6,5,2023-05-09T23:36:13Z,300000,False,229.0,37.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,23.22,Missed,,,,,,,,,,,,,,,,,,
