actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-05-11T23:46:14.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-11T23:46:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-05-11T23:46:16.4Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612755,0,0,2023-05-11T23:46:16Z,40000,False,,,0,,Jump Ball J. Embiid vs. R. Williams III: Tip to J. Harden,"[201935, 203954, 1629057]",1610612755.0,PHI,startperiod,J. Harden,201935.0,Harden,J. Harden,Embiid,203954.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-05-11T23:46:36.2Z,1,REGULAR,turnover,out-of-bounds,[],201935,,,1610612755,0,0,2023-05-11T23:46:41Z,70000,False,,,0,,J. Harden bad pass out-of-bounds TURNOVER (1 TO),[201935],1610612755.0,PHI,bad pass,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,200832.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-05-11T23:46:52.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,92.29632063074901,1.470588235294116,1610612738,0,0,2023-05-11T23:46:56Z,80000,False,-243.0,20.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,,,24.34,Missed,,,,,,,,,,,,,,,,
9,PT11M27.00S,2023-05-11T23:46:55.0Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,0,2023-05-11T23:46:56Z,90000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M19.00S,2023-05-11T23:47:07.1Z,1,REGULAR,foul,personal,[],1629057,,,1610612755,0,0,2023-05-11T23:47:17Z,100000,False,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 201935]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,200832.0,,,,,,,,1.0,0.0,Harden,201935.0,,,,,,,,
12,PT11M07.00S,2023-05-11T23:47:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,13.32128777923785,51.96078431372549,1610612755,0,0,2023-05-11T23:47:38Z,120000,False,-10.0,73.0,1,left,MISS T. Maxey 7' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,7.34,Missed,,,,,,,,,,,,,,,,
13,PT11M04.00S,2023-05-11T23:47:36.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2023-05-11T23:47:36Z,130000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M52.00S,2023-05-11T23:47:48.5Z,1,REGULAR,3pt,Jump Shot,[],203935,66.93495400788436,39.4607843137255,1610612738,0,3,2023-05-11T23:47:53Z,140000,False,-53.0,258.0,1,right,M. Smart 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,26.36,Made,,,,,,,,,3.0,J. Tatum,1628369.0,1.0,,,,
16,PT10M32.00S,2023-05-11T23:48:07.8Z,1,REGULAR,3pt,Jump Shot,[],200782,4.77989487516426,95.34313725490196,1610612755,3,3,2023-05-11T23:48:11Z,160000,False,-227.0,-8.0,1,left,P. Tucker 3PT  (3 PTS) (J. Harden 1 AST),"[200782, 201935]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,22.68,Made,,,,,,,,,3.0,J. Harden,201935.0,1.0,,,,
