actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-05-14T19:41:27.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-14T19:41:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-05-14T19:41:30.0Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2023-05-14T19:41:30Z,40000,False,,,0,,Jump Ball R. Williams III vs. J. Embiid: Tip to M. Smart,"[203935, 1629057, 203954]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-05-14T19:41:40.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.77858081471747,21.813725490196077,1610612738,0,0,2023-05-14T19:42:00Z,70000,False,-141.0,222.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-05-14T19:41:41.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,0,0,2023-05-14T19:41:51Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2023-05-14T19:42:13.7Z,1,REGULAR,3pt,Jump Shot,[],201935,27.677398160315374,14.215686274509803,1610612755,0,0,2023-05-14T19:42:19Z,100000,False,179.0,208.0,1,left,MISS J. Harden 27' 3PT,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,27.41,Missed,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2023-05-14T19:42:15.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2023-05-14T19:42:19Z,110000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M14.00S,2023-05-14T19:42:19.1Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,0,0,2023-05-14T19:42:27Z,120000,False,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 201935]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Harden,201935.0,,,,,,,,,,,
13,PT11M14.00S,2023-05-14T19:42:19.1Z,1,REGULAR,steal,,[],201935,,,1610612755,0,0,2023-05-14T19:42:21Z,130000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2023-05-14T19:42:22.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201935,8.623521681997373,46.81372549019608,1610612755,0,2,2023-05-14T19:42:35Z,140000,False,16.0,29.0,1,left,J. Harden driving DUNK (2 PTS),[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,3.27,Made,,,,,,,,2.0,,,,,,,,,,
15,PT10M58.00S,2023-05-14T19:42:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,92.06636005256242,49.50980392156863,1610612738,0,2,2023-05-14T19:42:42Z,150000,False,-2.0,22.0,1,right,MISS R. Williams III Layup,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,2.22,Missed,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2023-05-14T19:42:36.9Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,0,2,2023-05-14T19:42:42Z,160000,False,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M53.00S,2023-05-14T19:42:39.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,92.19776609724047,52.94117647058824,1610612738,2,2,2023-05-14T19:42:47Z,170000,False,15.0,21.0,1,right,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.55,Made,,,,,,,,2.0,,,,,,,,,,
18,PT10M28.00S,2023-05-14T19:43:04.6Z,1,REGULAR,2pt,Jump Shot,[],203954,16.63929040735874,29.901960784313726,1610612755,2,2,2023-05-14T19:43:10Z,180000,False,100.0,104.0,1,left,MISS J. Embiid 14' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,14.46,Missed,,,,,,,,,,,,,,,,,,
19,PT10M27.00S,2023-05-14T19:43:05.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,2,2023-05-14T19:43:10Z,190000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M14.00S,2023-05-14T19:43:18.9Z,1,REGULAR,3pt,Jump Shot,[],201143,65.65374507227332,63.23529411764706,1610612738,2,2,2023-05-14T19:43:26Z,200000,False,66.0,270.0,1,right,MISS A. Horford 27' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,27.84,Missed,,,,,,,,,,,,,,,,,,
21,PT10M13.00S,2023-05-14T19:43:19.9Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,2,2,2023-05-14T19:43:26Z,210000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M03.00S,2023-05-14T19:43:29.8Z,1,REGULAR,3pt,Jump Shot,[],202699,18.2161629434954,92.8921568627451,1610612755,2,2,2023-05-14T19:43:35Z,220000,False,-214.0,119.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,24.52,Missed,,,,,,,,,,,,,,,,,,
23,PT10M01.00S,2023-05-14T19:43:31.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,2,2023-05-14T19:43:35Z,230000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
