actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-05-22T00:32:41.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-22T00:32:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-05-22T00:32:43.6Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2023-05-22T00:32:43Z,40000,False,,,0,,Jump Ball A. Horford vs. B. Adebayo: Tip to D. White,"[1628401, 201143, 1628389]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Horford,201143.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-05-22T00:32:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,6.521024967148489,46.32352941176471,1610612738,0,0,2023-05-22T00:33:18Z,70000,False,18.0,9.0,1,left,MISS D. White driving Layup,[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,2.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-05-22T00:33:00.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,0,2023-05-22T00:38:06Z,80000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M28.00S,2023-05-22T00:33:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201567,81.8166885676741,57.59803921568627,1610612748,2,0,2023-05-22T00:33:31Z,100000,False,38.0,118.0,1,right,K. Love 12' turnaround fadeaway Jump Shot (2 PTS) (G. Vincent 1 AST),"[201567, 1629216]",1610612748.0,MIA,turnaround fadeaway,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Center,12.43,Made,,,,,2.0,G. Vincent,1629216.0,1.0,,,,,,,,,,
12,PT11M20.00S,2023-05-22T00:33:36.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.699737187910642,73.2843137254902,1610612738,2,0,2023-05-22T00:39:17Z,120000,False,-116.0,236.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.32,Missed,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2023-05-22T00:33:38.5Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,2,0,2023-05-22T00:38:19Z,130000,False,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M18.00S,2023-05-22T00:33:41.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628369,5.590000152587891,50.0,1610612738,2,0,2023-05-22T00:38:15Z,140000,False,0.0,0.0,1,left,MISS J. Tatum tip Layup,[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
15,PT11M17.00S,2023-05-22T00:33:42.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,0,2023-05-22T00:38:15Z,150000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M07.00S,2023-05-22T00:33:45.8Z,1,REGULAR,3pt,Jump Shot,[],201567,95.6143232588699,2.2058823529411766,1610612748,5,0,2023-05-22T00:38:38Z,160000,False,-239.0,-11.0,1,right,K. Love 3PT  (5 PTS) (G. Vincent 2 AST),"[201567, 1629216]",1610612748.0,MIA,,,,Love,K. Love,,,,,Left Corner 3,24+ Left,23.93,Made,,,,,5.0,G. Vincent,1629216.0,2.0,,,,,,,,,,
18,PT10M50.00S,2023-05-22T00:34:03.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,20.18725361366623,93.87254901960785,1610612738,5,3,2023-05-22T00:34:13Z,180000,False,-219.0,137.0,1,left,J. Tatum 25' 3PT  (3 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.88,Made,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,,,,
19,PT10M29.00S,2023-05-22T00:34:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,92.85479632063075,46.81372549019608,1610612748,7,3,2023-05-22T00:34:31Z,190000,False,-16.0,15.0,1,right,B. Adebayo driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,2.17,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M18.00S,2023-05-22T00:34:35.4Z,1,REGULAR,3pt,Jump Shot,[],1628401,11.383048620236531,2.941176470588235,1610612738,7,3,2023-05-22T00:34:39Z,200000,False,235.0,55.0,1,left,MISS D. White 24' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,24.15,Missed,,,,,,,,,,,,,,,,,,
