actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-05-24T00:32:57.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-24T00:32:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-05-24T00:33:00.1Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2023-05-24T00:33:00Z,40000,False,,,0,,Jump Ball B. Adebayo vs. A. Horford: Tip to J. Butler,"[202710, 1628389, 201143]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-05-24T00:33:14.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,85.10183968462549,96.32352941176471,1610612748,0,0,2023-05-24T00:33:19Z,70000,False,232.0,88.0,1,right,MISS M. Strus 24' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,24.76,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-05-24T00:33:16.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2023-05-24T00:33:19Z,80000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2023-05-24T00:33:22.1Z,1,REGULAR,3pt,Jump Shot,[],201143,12.828515111695138,1.9607843137254901,1610612738,0,3,2023-05-24T00:33:27Z,90000,False,240.0,68.0,1,left,A. Horford 24' 3PT  (3 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,24.97,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
11,PT11M19.00S,2023-05-24T00:33:36.4Z,1,REGULAR,3pt,Jump Shot,[],201567,66.83639947437582,54.41176470588235,1610612748,3,3,2023-05-24T00:33:41Z,110000,False,22.0,259.0,1,right,K. Love 26' 3PT  (3 PTS) (G. Vincent 1 AST),"[201567, 1629216]",1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,26.01,Made,,,,,3.0,G. Vincent,1629216.0,1.0,,,,,,,,,,
13,PT10M57.00S,2023-05-24T00:33:59.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,11.038107752956634,51.89185049019608,1610612738,3,5,2023-05-24T00:34:41Z,130000,False,-9.0,51.0,1,left,D. White turnaround Jump Shot (2 PTS),[1628401],1610612738.0,BOS,turnaround,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,5.22,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M31.00S,2023-05-24T00:34:27.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612748,3,5,2023-05-24T00:34:45Z,140000,False,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,101284.0,,,,,,,,,
15,PT10M23.00S,2023-05-24T00:34:56.2Z,1,REGULAR,violation,kicked ball,[],201567,,,1610612738,3,5,2023-05-24T00:35:01Z,150000,False,,,0,,K. Love kicked ball VIOLATION,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,2004.0,,,,,,,,,
16,PT10M16.00S,2023-05-24T00:35:10.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,9.543363994743759,94.6078431372549,1610612738,3,8,2023-05-24T00:35:16Z,160000,False,-223.0,37.0,1,left,D. White 3PT  (5 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,22.61,Made,,,,,5.0,J. Brown,1627759.0,1.0,,,,,,,,,,
