actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-05-26T00:33:09.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-26T00:33:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-05-26T00:33:11.9Z,1,REGULAR,jumpball,recovered,[],201567,,,1610612748,0,0,2023-05-26T00:33:11Z,40000,False,,,0,,Jump Ball B. Adebayo vs. A. Horford: Tip to K. Love,"[201567, 1628389, 201143]",1610612748.0,MIA,startperiod,K. Love,201567.0,Love,K. Love,Adebayo,1628389.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-05-26T00:33:28.1Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,0,0,2023-05-26T00:33:32Z,70000,False,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 203935]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,1.0,Smart,203935.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-05-26T00:33:28.1Z,1,REGULAR,steal,,[],203935,,,1610612738,0,0,2023-05-26T00:33:30Z,80000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-05-26T00:33:32.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,93.24901445466492,45.09803921568628,1610612738,2,0,2023-05-26T00:33:37Z,90000,False,-25.0,11.0,1,right,J. Tatum running Layup (2 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,2.69,Made,2.0,,,,,,,,,,,,,,
10,PT11M19.00S,2023-05-26T00:33:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.35873850197109,53.86029411764706,1610612748,2,2,2023-05-26T00:33:54Z,100000,False,-19.0,17.0,1,left,B. Adebayo driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,2.55,Made,2.0,,,,,,,,,,,,,,
11,PT10M56.00S,2023-05-26T00:34:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,94.03745072273325,54.90196078431373,1610612738,4,2,2023-05-26T00:34:16Z,110000,False,25.0,4.0,1,right,M. Smart driving Layup (2 PTS) (A. Horford 1 AST),"[203935, 201143]",1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,2.47,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,
13,PT10M43.00S,2023-05-26T00:34:25.6Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,4,2,2023-05-26T00:34:28Z,130000,False,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1628401]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,8-16 Left,1.0,White,1628401.0,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2023-05-26T00:34:25.6Z,1,REGULAR,steal,,[],1628401,,,1610612738,4,2,2023-05-26T00:34:59Z,140000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2023-05-26T00:34:32.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203935,93.77463863337714,54.65686274509803,1610612738,4,2,2023-05-26T00:34:45Z,150000,False,23.0,6.0,1,right,MISS M. Smart running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,2.41,Missed,,,,,,,,,,,,,,,
16,PT10M35.00S,2023-05-26T00:34:33.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,4,2,2023-05-26T00:35:35Z,160000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
19,PT10M19.00S,2023-05-26T00:34:49.3Z,1,REGULAR,2pt,Jump Shot,[],202710,14.4053876478318,30.392156862745097,1610612748,4,4,2023-05-26T00:34:56Z,190000,False,98.0,83.0,1,left,J. Butler 12' floating Jump Shot (2 PTS),[202710],1610612748.0,MIA,floating,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,,,,12.84,Made,2.0,,,,,,,,,,,,,,
20,PT10M03.00S,2023-05-26T00:35:05.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.30420499342969,79.16666666666666,1610612738,4,4,2023-05-26T00:35:11Z,200000,False,146.0,217.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,26.16,Missed,,,,,,,,,,,,,,,
21,PT10M01.00S,2023-05-26T00:35:07.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,4,4,2023-05-26T00:35:11Z,210000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,20.0,,,,,,,,,,
23,PT09M36.00S,2023-05-26T00:35:40.6Z,1,REGULAR,3pt,Jump Shot,[],1629622,17.0335085413929,3.6764705882352944,1610612748,4,4,2023-05-26T00:35:46Z,230000,False,232.0,108.0,1,left,MISS M. Strus 25' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,25.54,Missed,,,,,,,,,,,,,,,
24,PT09M35.00S,2023-05-26T00:35:41.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,4,2023-05-26T00:35:46Z,240000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT09M16.00S,2023-05-26T00:36:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,88.91261498028909,44.11764705882353,1610612738,4,4,2023-05-26T00:37:21Z,250000,False,-29.0,52.0,1,right,MISS J. Brown turnaround Shot - blocked,"[1627759, 1628389]",1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,5.95,Missed,,,,,,,,,Adebayo,1628389.0,,,,,
26,PT09M16.00S,2023-05-26T00:36:00.6Z,1,REGULAR,block,,[],1628389,,,1610612738,4,4,2023-05-26T00:36:03Z,260000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M14.00S,2023-05-26T00:36:02.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,4,4,2023-05-26T00:36:08Z,270000,False,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,
28,PT09M11.00S,2023-05-26T00:36:06.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,79.188567674113,55.392156862745104,1610612738,4,4,2023-05-26T00:36:12Z,280000,False,27.0,143.0,1,right,MISS J. Tatum 14' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Center,,,,14.56,Missed,,,,,,,,,,,,,,,
29,PT09M10.00S,2023-05-26T00:36:07.5Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,4,4,2023-05-26T00:36:12Z,290000,False,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Mid-Range,8-16 Center,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,
30,PT08M55.00S,2023-05-26T00:36:22.8Z,1,REGULAR,2pt,Jump Shot,[],201567,10.33180026281209,75.49019607843137,1610612748,4,4,2023-05-26T00:36:30Z,300000,False,-127.0,45.0,1,left,MISS K. Love 13' turnaround fadeaway Shot,[201567],1610612748.0,MIA,turnaround fadeaway,,,Love,K. Love,,,,,Mid-Range,8-16 Left,,,,13.51,Missed,,,,,,,,,,,,,,,
31,PT08M54.00S,2023-05-26T00:36:23.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,4,2023-05-26T00:36:30Z,310000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,
