actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-05-28T00:33:07.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-28T00:33:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-05-28T00:33:10.1Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2023-05-28T00:33:10Z,40000,False,,,0,,Jump Ball B. Adebayo vs. A. Horford: Tip to J. Butler,"[202710, 1628389, 201143]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-05-28T00:33:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,94.43166885676742,55.63725490196079,1610612748,0,0,2023-05-28T00:33:27Z,70000,False,28.0,0.0,1,right,MISS G. Vincent driving Layup,[1629216],1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-05-28T00:33:24.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2023-05-28T00:33:27Z,80000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M38.00S,2023-05-28T00:33:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.783837056504599,46.568627450980394,1610612738,0,0,2023-05-28T00:55:13Z,90000,False,17.0,11.0,1,left,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.06,Missed,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2023-05-28T00:33:32.0Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,0,0,2023-05-28T00:55:13Z,100000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
128,PT11M30.00S,2023-05-28T00:33:38.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628997,88.83048620236531,41.888786764705884,1610612748,0,0,2023-05-28T00:56:37Z,105000,False,-41.0,52.0,1,right,MISS C. Martin 6' running Layup - blocked,"[1628997, 1628401]",1610612748.0,MIA,running,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,6.64,Missed,,,,,White,1628401.0,,,,,,,,,,,,
137,PT11M30.00S,2023-05-28T00:33:38.3Z,1,REGULAR,block,,[],1628401,,,1610612748,0,0,2023-05-28T00:58:47Z,106250,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
129,PT11M28.00S,2023-05-28T00:33:40.3Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,0,0,2023-05-28T00:56:30Z,107500,False,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,128.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M21.00S,2023-05-28T00:33:45.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",202710,91.14651773981603,42.40196078431372,1610612748,0,0,2023-05-28T00:56:30Z,110000,False,-38.0,31.0,1,right,MISS J. Butler turnaround Hook,[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,4.89,Missed,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2023-05-28T00:33:47.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2023-05-28T00:33:49Z,120000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M15.00S,2023-05-28T00:33:52.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,7.178055190538765,48.77450980392157,1610612738,0,2,2023-05-28T00:37:30Z,130000,False,6.0,15.0,1,left,J. Brown running Layup (2 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.62,Made,,,,,,,2.0,,,,,,,,,,,
14,PT11M01.00S,2023-05-28T00:34:05.1Z,1,REGULAR,3pt,Jump Shot,[],1629622,77.61169513797634,7.107843137254902,1610612748,3,2,2023-05-28T00:34:09Z,140000,False,-214.0,158.0,1,right,M. Strus 26' 3PT  (3 PTS) (C. Martin 1 AST),"[1629622, 1628997]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,26.64,Made,,,,,,,3.0,C. Martin,1628997.0,1.0,,,,,,,,
16,PT10M49.00S,2023-05-28T00:34:24.9Z,1,REGULAR,foul,personal,[],202710,,,1610612738,3,2,2023-05-28T00:34:33Z,160000,False,,,0,,J. Butler personal FOUL (1 PF),"[202710, 1628401]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,201639.0,1.0,0.0,White,1628401.0,,,
18,PT10M41.00S,2023-05-28T00:34:45.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,19.267411300919843,50.245098039215684,1610612738,3,2,2023-05-28T00:38:16Z,180000,False,-1.0,129.0,1,left,MISS M. Smart 12' turnaround fadeaway Shot,[203935],1610612738.0,BOS,turnaround fadeaway,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,12.86,Missed,,,,,,,,,,,,,,,,,,
