actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-05-30T00:33:13.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-30T00:33:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-05-30T00:33:16.1Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2023-05-30T00:33:16Z,40000,False,,,0,,Jump Ball A. Horford vs. B. Adebayo: Tip to J. Brown,"[1627759, 201143, 1628389]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Horford,201143.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-05-30T00:33:41.7Z,1,REGULAR,foul,personal,['2freethrow'],1629216,,,1610612738,0,0,2023-05-30T00:33:47Z,70000,False,,,0,,G. Vincent shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629216, 1628369]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2023-05-30T00:34:42.3Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,1,0,2023-05-30T00:35:08Z,90000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M34.00S,2023-05-30T00:34:42.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,1,0,2023-05-30T00:35:08Z,100000,False,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M34.00S,2023-05-30T00:34:42.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,1,0,2023-05-30T00:35:08Z,110000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M19.00S,2023-05-30T00:35:15.1Z,1,REGULAR,2pt,Jump Shot,[],1629216,20.844283837056505,77.94117647058823,1610612748,1,0,2023-05-30T00:35:22Z,120000,False,-140.0,143.0,1,left,MISS G. Vincent 20' pullup Shot,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,,,,,20.02,,,,,,,,
13,PT11M17.00S,2023-05-30T00:35:17.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,1,0,2023-05-30T00:35:22Z,130000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M06.00S,2023-05-30T00:35:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,90.3580814717477,50.0,1610612738,1,0,2023-05-30T00:35:32Z,140000,False,0.0,38.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.81,,,,,,,,
15,PT11M05.00S,2023-05-30T00:35:28.8Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,1,0,2023-05-30T00:35:32Z,150000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
